epoch,timestamp_utc,global_step,train_loss,train_charbonnier_loss,train_grad_loss,train_frc_loss,train_smooth_loss,train_log_noise_mean_loss,train_log_noise_tv_loss,train_gamma_nll_loss,train_enl_loss,lr,val_l1_loss,val_psnr,val_ssim,val_frc_score
12,2026-04-23T05:44:24.755524+00:00,27050,0.4827896597103048,0.0737232218235632,0.008772355496381895,0.1551228325015083,0.0017772142380179808,0.009629298412195808,0.011901890965379787,0.09507224521911391,0.12679059969384804,0.00016133502415298544,0.07787131816568116,25.250597335607875,0.9568977445419913,0.6883787441208931
13,2026-04-23T07:29:58.537712+00:00,29303,0.4817707550766252,0.07354497971179666,0.008756127285616781,0.15443242756523032,0.0017744825013966297,0.009639252755166349,0.011895869149898552,0.0950841355013805,0.1266434794156772,0.00015514771898495866,0.07771338015011954,25.262177630168637,0.9570021579010626,0.6885861421168186
14,2026-04-23T08:41:13.663337+00:00,31558,0.48084719203136583,0.0733373621418778,0.008736865203885454,0.15377422934243146,0.0017715698720955052,0.00963434422593981,0.011883302420100132,0.09509279013645043,0.12661672724763262,0.00014864417321343683,0.07762009871330315,25.26964516845474,0.9570522567791966,0.688699325186674
15,2026-04-23T09:19:09.615746+00:00,33813,0.47974423147088596,0.07295758419943427,0.008716793699459772,0.1531237577798494,0.0017675849569368225,0.009643449614371424,0.011873853462505536,0.09512902208021248,0.12653218427857635,0.00014187004957212263,0.07741038070023619,25.285497159045363,0.9571943248414189,0.688742809626667
16,2026-04-23T09:57:06.773484+00:00,36067,0.4791587374907794,0.07285623056254331,0.00871150474479006,0.15250043346271674,0.0017670427901025083,0.009640594784283578,0.01186764811616524,0.09513495452693783,0.12668032714191152,0.00013487049484958515,0.07733224413408347,25.286400224209725,0.9572294204588455,0.6886420311444695
17,2026-04-23T10:35:03.212950+00:00,38321,0.4780525478694888,0.07246878507046615,0.008692866312717883,0.1519058244565184,0.0017634174639033185,0.009635162531673151,0.011854455223231418,0.09515132180839136,0.12658071393024423,0.00012768591813602215,0.07713620491172091,25.297995870600946,0.9573478215630908,0.688596175043489
18,2026-04-23T11:13:28.161797+00:00,40575,0.47747872142258757,0.07232566915467352,0.008687859449748765,0.15133219263682637,0.0017628178467144159,0.009642122182170957,0.011851166208297589,0.09517322121616424,0.12670367175577274,0.00012036082169679326,0.07707958221854905,25.29749694953045,0.9573741047512075,0.6884036921873325
19,2026-04-23T11:51:24.813785+00:00,42829,0.476765109723887,0.0721761942088247,0.0086773513681215,0.15080080502252405,0.0017613838246556106,0.009645157806931799,0.01184477221822198,0.09518621595571035,0.12667322834967298,0.0001129405781959425,0.07701352620969122,25.305128907173255,0.9573906119947809,0.6882565371538416
20,2026-04-23T12:29:21.916432+00:00,45083,0.476089304667086,0.0720110234177993,0.008671807582093781,0.15025336258022504,0.0017606278001125277,0.00964270678795395,0.01183915691771213,0.0951899603227338,0.12672065869287685,0.0001054711496516198,0.07694625517608525,25.30439519971665,0.9573972630008748,0.6879923538240215
21,2026-04-23T13:07:19.868092+00:00,47337,0.47564797533354225,0.07188638107697064,0.008673811681076213,0.1497492257891486,0.0017619298051825434,0.009645135030683306,0.011839604786999754,0.0952052240011882,0.1268866623609921,9.799880274096091e-05,0.07691706440238523,25.302692282714272,0.9574024865148663,0.6877070871124125
22,2026-04-23T13:45:17.462034+00:00,49591,0.47457326475731626,0.07167291906277075,0.008646001943888381,0.14921805832306173,0.001756158423224614,0.009645884068293241,0.011826719169377501,0.09521749489427432,0.12659002792930413,9.056982221786781e-05,0.07681142887551387,25.312793581391812,0.9574950691906641,0.6873904244090111
23,2026-04-23T14:23:13.125346+00:00,51845,0.47425869974415324,0.0716087061735843,0.008646845364090931,0.1487696522664643,0.0017574502477502084,0.009648555358279026,0.011826869515079594,0.09522516418551627,0.12677545576170665,8.323022421881883e-05,0.07678532345992763,25.310420967624513,0.9574864084009381,0.6870673201544871
24,2026-04-23T15:01:10.949584+00:00,54099,0.4736378342937699,0.071485938829444,0.008640903411121214,0.1482743829435878,0.0017565201034773134,0.009650188504756869,0.011822813792399158,0.09524016211668175,0.12676692380096674,7.602547123253229e-05,0.07671456867881385,25.31307063004313,0.9574989822970993,0.6866926664930347
25,2026-04-23T15:39:09.227989+00:00,56354,0.4728936186437465,0.07135395708922061,0.008622566614581743,0.14781646796990244,0.0017534652819099386,0.009652178380931659,0.011815874062992433,0.09524298211764962,0.12663612621643242,6.899712000934761e-05,0.07666602732847824,25.31692588977921,0.957538673846404,0.686342126432995
26,2026-04-23T16:17:08.237202+00:00,58608,0.4723713384892888,0.0712494632094127,0.008619319562556295,0.14737715428526954,0.0017528224119752972,0.009653419199719591,0.011812620971622025,0.09525403778947994,0.12665250034204314,6.21949354849823e-05,0.0766600688908941,25.313796751047388,0.957509920923616,0.6859263122417243
27,2026-04-23T16:55:04.829068+00:00,60862,0.47192392129939315,0.07118836558990083,0.008616038148672902,0.1469429931356548,0.0017529237952881036,0.009654781158396346,0.011810675977232928,0.09525904450858874,0.1266990985335519,5.565789147142622e-05,0.07670719038142944,25.307087817737802,0.957483257518253,0.6855369848784542
28,2026-04-23T17:33:01.066241+00:00,63116,0.47133666665571494,0.07108438094711457,0.008606162366603312,0.1465267464452452,0.001751379671005293,0.009655162820077806,0.011806573437262028,0.09526799544675515,0.12663826484866827,4.9426479326619714e-05,0.07666055493993339,25.308088120108028,0.957499059347006,0.6850912000627499
29,2026-04-23T18:10:58.499505+00:00,65370,0.47094397542613603,0.07105208610230551,0.008606298351885507,0.14614765816648034,0.0017519543580944287,0.009655712615639916,0.011806325575951912,0.09527161953209456,0.12665231969727198,4.353929728228732e-05,0.07662136348114676,25.309879717191656,0.957517802603473,0.6846618406320826
